stock,open,high,low,close,timestamp
株F,366.04,445.82,347.71,354.27,12:14:24.500
株Z,440.21,491.59,422.23,430.82,12:14:25.000
株T,598.17,654.55,552.40,557.39,12:14:25.500
株I,886.51,962.13,875.80,892.90,12:14:26.000
株X,551.63,634.23,540.32,559.42,12:14:26.500
株F,915.06,987.85,886.02,901.39,12:14:27.000
株F,414.40,509.00,385.29,404.63,12:14:27.500
株G,495.29,593.18,484.56,496.77,12:14:28.000
株R,889.63,957.07,846.90,854.34,12:14:28.500
株J,609.93,662.68,593.05,597.26,12:14:29.000
株S,446.24,541.74,401.55,403.86,12:14:29.500
株G,433.56,525.04,396.48,403.22,12:14:30.000
株L,955.09,1050.39,905.99,923.46,12:14:30.500
株C,592.76,653.73,576.70,593.28,12:14:31.000
株M,674.52,733.47,671.45,683.00,12:14:31.500
株Y,806.37,879.23,791.01,795.12,12:14:32.000
株U,979.05,1039.69,931.81,943.82,12:14:32.500
株A,463.54,539.89,436.90,454.05,12:14:33.000
株S,374.75,442.27,367.21,376.75,12:14:33.500
株D,500.00,597.20,493.78,500.02,12:14:34.000
株F,588.48,639.19,566.50,581.94,12:14:34.500
株D,844.56,925.28,813.66,816.60,12:14:35.000
株O,575.91,656.58,570.78,578.81,12:14:35.500
株V,423.77,487.24,416.43,431.29,12:14:36.000
株V,525.26,584.77,485.64,496.62,12:14:36.500
株G,742.54,835.91,707.53,715.66,12:14:37.000
株N,849.72,909.52,808.30,812.70,12:14:37.500
株I,451.73,508.13,448.39,460.63,12:14:38.000
株D,717.63,781.98,672.83,680.19,12:14:38.500
株U,810.98,862.18,794.86,799.25,12:14:39.000
株P,840.36,903.93,797.89,804.39,12:14:39.500
株J,638.99,695.39,637.32,645.44,12:14:40.000
株Z,675.07,760.02,657.48,660.00,12:14:40.500
株B,547.82,628.90,499.63,511.40,12:14:41.000
株M,667.09,724.26,637.85,642.74,12:14:41.500
株Y,519.59,595.71,477.96,483.43,12:14:42.000
株G,687.30,775.00,640.39,652.03,12:14:42.500
株H,783.95,840.22,776.02,780.68,12:14:43.000
株A,583.16,638.31,575.65,580.95,12:14:43.500
株B,822.42,917.97,791.15,808.91,12:14:44.000
株B,333.81,424.16,311.83,329.05,12:14:44.500
株K,949.55,1010.79,927.23,933.25,12:14:45.000
株N,611.91,685.16,577.03,585.22,12:14:45.500
株A,444.75,500.08,421.75,429.61,12:14:46.000
株E,458.01,522.25,452.05,455.49,12:14:46.500
株V,420.60,514.12,386.09,405.29,12:14:47.000
株L,997.92,1076.19,996.07,1006.64,12:14:47.500
株D,841.08,915.86,792.64,793.79,12:14:48.000
株M,404.77,484.67,388.58,392.48,12:14:48.500
株F,676.71,729.49,660.15,674.41,12:14:49.000
株D,812.88,867.49,764.45,769.40,12:14:49.500
株A,804.01,899.88,784.35,787.76,12:14:50.000
株D,489.23,552.71,484.33,502.29,12:14:50.500
株A,303.07,373.13,301.58,319.93,12:14:51.000
株G,632.83,689.46,594.31,612.79,12:14:51.500
株C,434.67,491.64,416.44,423.43,12:14:52.000
株U,806.37,875.98,763.56,774.81,12:14:52.500
株E,506.90,574.92,476.24,495.28,12:14:53.000
株Y,806.34,904.69,799.24,805.21,12:14:53.500
株Z,816.99,867.42,782.64,800.14,12:14:54.000
株C,752.95,815.87,704.56,720.03,12:14:54.500
株J,935.35,1000.75,916.58,919.22,12:14:55.000
株Y,350.68,426.74,324.86,332.82,12:14:55.500
株T,884.73,935.24,863.67,879.63,12:14:56.000
株Y,836.90,904.75,819.50,831.72,12:14:56.500
株X,676.32,729.67,642.24,650.29,12:14:57.000
株T,742.43,830.94,705.96,720.44,12:14:57.500
株Y,605.36,667.88,599.52,610.07,12:14:58.000
株B,563.69,654.14,530.21,540.68,12:14:58.500
株L,922.28,985.54,885.19,899.06,12:14:59.000
株B,994.79,1064.77,987.07,999.54,12:14:59.500
株F,621.34,693.17,573.25,580.45,12:15:00.000
株D,507.09,564.82,504.92,523.97,12:15:00.500
株P,313.77,393.27,295.51,315.23,12:15:01.000
株F,881.70,980.03,880.16,887.37,12:15:01.500
株W,400.40,481.16,360.09,375.10,12:15:02.000
株U,485.03,555.32,440.15,443.91,12:15:02.500
株E,864.42,958.07,847.67,867.26,12:15:03.000
株Z,359.56,425.53,345.22,346.53,12:15:03.500
株G,631.15,721.50,628.70,631.08,12:15:04.000
株R,833.67,916.19,805.00,807.25,12:15:04.500
株E,670.99,743.92,663.20,668.05,12:15:05.000
株S,342.67,415.98,320.74,325.00,12:15:05.500
株L,782.04,832.70,758.75,775.54,12:15:06.000
株B,519.16,604.37,479.63,486.54,12:15:06.500
株X,425.54,498.89,414.25,417.94,12:15:07.000
株J,587.39,668.12,554.96,573.81,12:15:07.500
株Y,358.54,448.95,351.69,356.25,12:15:08.000
株R,781.23,849.97,756.58,758.38,12:15:08.500
株J,673.99,724.44,657.57,671.45,12:15:09.000
株B,770.43,825.08,736.18,738.03,12:15:09.500
株C,477.70,532.40,443.48,447.91,12:15:10.000
株P,303.25,380.87,286.33,294.90,12:15:10.500
株O,986.63,1075.00,955.18,969.48,12:15:11.000
株B,884.18,936.10,871.98,881.63,12:15:11.500
株O,429.89,522.98,427.06,434.72,12:15:12.000
株U,856.15,925.05,854.72,872.74,12:15:12.500
株N,957.15,1028.29,928.40,943.56,12:15:13.000
株F,302.23,375.92,294.62,310.55,12:15:13.500
株W,754.37,838.03,735.63,754.82,12:15:14.000
株N,726.72,786.08,694.09,713.18,12:15:14.500
株W,792.13,866.31,783.16,800.52,12:15:15.000
株S,862.70,961.40,831.78,839.71,12:15:15.500
株S,577.75,637.55,554.80,570.84,12:15:16.000
株Y,694.59,761.57,654.37,657.15,12:15:16.500
株Q,963.47,1018.69,931.87,945.45,12:15:17.000
株J,509.24,604.99,507.38,516.50,12:15:17.500
株E,601.95,681.57,556.68,564.98,12:15:18.000
株S,444.68,532.41,418.54,432.29,12:15:18.500
株Q,620.29,690.55,603.82,610.66,12:15:19.000
株X,486.87,544.72,466.27,475.60,12:15:19.500
株G,898.54,996.91,853.67,855.59,12:15:20.000
株X,846.33,911.87,842.26,856.06,12:15:20.500
株Z,499.63,587.66,490.91,507.90,12:15:21.000
株Q,393.40,459.57,377.89,383.34,12:15:21.500
株Z,629.07,723.59,619.22,639.21,12:15:22.000
株B,396.66,487.94,395.65,402.73,12:15:22.500
株K,469.68,523.74,448.53,461.94,12:15:23.000
株G,501.13,599.02,479.55,497.46,12:15:23.500
株R,843.12,905.01,830.07,832.13,12:15:24.000
株A,538.55,601.20,536.01,545.01,12:15:24.500
株H,825.24,902.97,784.81,792.09,12:15:25.000
株D,415.21,477.08,391.93,405.61,12:15:25.500
株K,576.28,632.31,574.81,583.70,12:15:26.000
株T,444.85,539.06,398.50,412.92,12:15:26.500
株J,849.06,944.48,807.10,822.22,12:15:27.000
株H,486.58,558.98,473.09,483.48,12:15:27.500
株H,515.02,585.13,496.48,504.14,12:15:28.000
株H,507.24,587.50,468.98,480.15,12:15:28.500
株D,429.66,499.34,389.36,391.91,12:15:29.000
株O,421.88,501.22,405.22,414.03,12:15:29.500
株K,893.75,969.77,849.42,863.23,12:15:30.000
株X,323.43,416.21,310.13,313.32,12:15:30.500
株R,686.79,753.30,680.65,694.82,12:15:31.000
株O,890.17,972.51,884.08,898.02,12:15:31.500
株P,935.68,1029.15,919.41,927.61,12:15:32.000
株X,909.45,983.13,875.54,894.87,12:15:32.500
株N,609.01,695.87,602.27,621.04,12:15:33.000
株P,835.69,929.75,788.87,802.46,12:15:33.500
株H,732.23,808.76,730.41,736.49,12:15:34.000
株V,739.76,819.72,724.21,727.35,12:15:34.500
株C,739.54,833.84,703.08,722.04,12:15:35.000
株P,624.87,703.69,602.33,611.78,12:15:35.500
株L,530.07,599.94,494.39,513.10,12:15:36.000
株P,977.68,1060.71,958.07,961.19,12:15:36.500
株R,898.99,964.30,879.51,896.28,12:15:37.000
株Z,850.15,906.63,845.54,847.00,12:15:37.500
株V,657.73,749.13,652.15,658.45,12:15:38.000
株Q,589.07,686.92,572.67,581.49,12:15:38.500
株M,378.23,430.24,354.23,366.76,12:15:39.000
株H,536.82,636.65,495.30,513.94,12:15:39.500
株I,489.65,564.70,470.18,484.42,12:15:40.000
株W,646.45,730.09,602.43,620.95,12:15:40.500
株S,347.07,432.54,338.14,347.93,12:15:41.000
株F,665.33,762.52,648.46,658.98,12:15:41.500
株H,520.64,602.58,486.22,504.49,12:15:42.000
株Q,737.15,805.34,702.76,714.51,12:15:42.500
株Q,761.07,814.75,719.87,721.93,12:15:43.000
株E,980.93,1079.65,960.98,963.18,12:15:43.500
株R,982.24,1070.78,965.07,981.20,12:15:44.000
株C,772.99,825.05,758.34,767.77,12:15:44.500
株T,819.22,885.31,798.20,809.01,12:15:45.000
株D,975.33,1072.59,932.46,938.77,12:15:45.500
株R,490.06,569.79,443.63,460.41,12:15:46.000
株B,490.50,552.82,453.33,465.97,12:15:46.500
株J,670.72,761.53,631.35,633.94,12:15:47.000
株D,838.29,926.50,797.62,813.08,12:15:47.500
株Y,500.57,588.57,454.28,473.45,12:15:48.000
株Q,586.84,675.01,539.06,555.83,12:15:48.500
株I,933.21,1017.56,894.36,906.52,12:15:49.000
株O,998.70,1088.67,954.24,959.11,12:15:49.500
株D,503.56,593.20,501.90,511.32,12:15:50.000
株Q,709.74,781.12,706.01,714.95,12:15:50.500
株H,493.26,576.87,478.65,496.38,12:15:51.000
株E,447.86,538.03,421.47,436.51,12:15:51.500
株T,472.96,539.84,470.66,483.74,12:15:52.000
株F,738.33,810.19,732.90,741.38,12:15:52.500
株B,390.80,458.33,351.56,355.67,12:15:53.000
株F,417.38,514.64,386.59,389.24,12:15:53.500
株B,681.23,732.97,636.71,639.43,12:15:54.000
株Z,430.73,507.22,392.99,401.44,12:15:54.500
株P,852.39,912.21,823.19,838.98,12:15:55.000
株G,310.63,361.88,282.54,287.36,12:15:55.500
株U,900.27,952.08,879.42,881.07,12:15:56.000
株P,672.76,757.60,654.31,669.68,12:15:56.500
株Q,846.62,910.91,820.18,827.27,12:15:57.000
株R,861.84,928.73,823.41,830.40,12:15:57.500
株Z,410.96,482.71,366.52,381.68,12:15:58.000
株S,338.29,434.37,322.78,332.04,12:15:58.500
株G,981.91,1054.96,980.72,1000.49,12:15:59.000
株S,457.28,511.00,455.37,461.95,12:15:59.500
株G,633.86,732.10,598.26,606.77,12:16:00.000
株J,736.05,830.20,702.58,710.20,12:16:00.500
株G,900.95,951.30,879.68,887.31,12:16:01.000
株X,748.47,815.40,725.94,736.05,12:16:01.500
株C,629.56,714.83,617.18,627.06,12:16:02.000
株Y,789.38,844.24,779.78,789.64,12:16:02.500
株J,823.94,902.78,808.98,819.86,12:16:03.000
株R,749.84,823.56,726.05,735.14,12:16:03.500
株V,468.56,534.63,461.23,470.30,12:16:04.000
株R,518.23,591.99,482.34,493.10,12:16:04.500
株N,837.38,889.90,818.84,822.65,12:16:05.000
株Z,840.94,901.02,811.21,814.84,12:16:05.500
株B,800.86,874.02,758.44,763.10,12:16:06.000
株V,907.11,981.38,877.19,890.11,12:16:06.500
株T,578.66,629.83,557.86,560.64,12:16:07.000
株C,414.38,476.39,393.77,400.66,12:16:07.500
株X,994.10,1062.90,975.78,995.01,12:16:08.000
株L,363.53,449.15,344.93,350.38,12:16:08.500
株H,644.79,731.67,639.33,641.37,12:16:09.000
株M,769.51,843.23,734.23,738.77,12:16:09.500
株S,328.51,419.98,301.38,303.09,12:16:10.000
株M,662.61,742.38,640.75,647.48,12:16:10.500
株K,704.54,798.60,661.19,664.07,12:16:11.000
株B,675.13,772.75,662.72,679.39,12:16:11.500
株P,626.61,680.40,608.72,613.95,12:16:12.000
株F,420.70,519.48,388.76,390.83,12:16:12.500
株B,465.55,517.20,452.96,468.57,12:16:13.000
株Y,501.82,552.77,468.37,482.53,12:16:13.500
株X,636.56,708.44,615.06,622.65,12:16:14.000
株Q,829.78,883.83,799.14,808.04,12:16:14.500
株N,575.17,658.24,547.89,560.85,12:16:15.000
株J,880.52,971.86,863.33,875.91,12:16:15.500
株W,929.74,983.71,908.53,912.28,12:16:16.000
株C,773.00,871.33,741.99,745.70,12:16:16.500
株X,698.97,791.99,656.11,659.41,12:16:17.000
株X,814.50,878.55,804.86,816.35,12:16:17.500
株R,905.98,991.63,885.53,889.76,12:16:18.000
株B,937.82,1025.99,888.55,891.27,12:16:18.500
株M,340.60,399.62,335.98,339.81,12:16:19.000
株X,578.91,673.17,551.58,564.42,12:16:19.500
株W,831.88,887.62,817.17,822.54,12:16:20.000
株I,675.84,747.67,660.92,670.75,12:16:20.500
株E,660.41,732.92,624.97,640.41,12:16:21.000
株R,868.23,962.88,848.85,863.24,12:16:21.500
株M,769.65,866.54,742.50,756.86,12:16:22.000
株O,957.82,1053.25,909.14,921.15,12:16:22.500
株O,717.17,809.02,714.30,727.34,12:16:23.000
株T,615.51,711.54,592.52,608.10,12:16:23.500
株C,352.95,404.11,303.49,312.49,12:16:24.000
株C,639.90,701.44,597.22,600.01,12:16:24.500
株Y,852.07,909.75,819.29,825.21,12:16:25.000
株H,838.70,922.64,828.77,834.38,12:16:25.500
株Z,641.97,700.91,614.82,625.16,12:16:26.000
株I,943.30,996.52,937.25,949.96,12:16:26.500
株P,940.26,1026.42,917.36,935.40,12:16:27.000
株K,583.11,662.35,534.93,537.07,12:16:27.500
株F,769.57,857.19,760.65,765.64,12:16:28.000
株L,729.72,814.83,727.86,732.35,12:16:28.500
株K,741.89,825.87,700.83,715.73,12:16:29.000
株Y,302.58,384.84,266.48,271.29,12:16:29.500
株U,392.53,473.35,349.21,366.77,12:16:30.000
株G,600.09,679.04,554.10,568.99,12:16:30.500
株X,559.04,619.84,536.34,544.31,12:16:31.000
株N,366.65,445.46,358.75,374.42,12:16:31.500
株S,773.23,865.58,747.39,749.01,12:16:32.000
株W,501.16,557.32,491.28,506.11,12:16:32.500
株M,471.19,565.73,463.22,479.83,12:16:33.000
株I,321.49,401.22,292.47,301.64,12:16:33.500
株W,565.56,625.11,532.92,537.44,12:16:34.000
株R,487.96,563.16,456.73,473.40,12:16:34.500
株D,731.92,785.94,722.52,738.77,12:16:35.000
株Y,676.48,756.31,665.95,674.28,12:16:35.500
株P,910.48,994.89,885.64,898.19,12:16:36.000
株H,577.37,655.95,551.22,560.22,12:16:36.500
株J,920.84,976.84,874.61,891.37,12:16:37.000
株V,307.33,385.85,300.99,311.90,12:16:37.500
株M,998.95,1086.65,989.07,1005.29,12:16:38.000
株J,355.57,453.42,350.55,356.89,12:16:38.500
株X,394.41,477.05,356.93,363.34,12:16:39.000
株J,566.61,639.91,541.29,546.73,12:16:39.500
株A,838.13,930.20,801.81,811.46,12:16:40.000
株Y,459.92,555.21,436.61,455.65,12:16:40.500
株L,358.86,432.29,314.02,330.25,12:16:41.000
株R,489.66,562.59,441.02,449.55,12:16:41.500
株S,307.53,362.68,265.57,282.81,12:16:42.000
株M,381.61,439.79,375.12,380.55,12:16:42.500
株L,519.61,587.69,500.51,508.08,12:16:43.000
株A,582.37,659.25,539.60,543.97,12:16:43.500
株T,880.23,949.23,876.32,882.78,12:16:44.000
株Q,691.56,784.26,679.15,696.74,12:16:44.500
株G,469.95,554.16,465.63,479.06,12:16:45.000
株S,840.45,925.86,793.91,810.37,12:16:45.500
株I,366.42,434.71,362.51,380.80,12:16:46.000
株M,737.30,804.01,693.62,696.72,12:16:46.500
株D,573.39,658.02,556.23,562.51,12:16:47.000
株M,577.41,643.89,531.28,546.49,12:16:47.500
株I,935.92,1034.82,924.00,931.71,12:16:48.000
株V,928.21,1025.40,897.89,914.67,12:16:48.500
株C,429.67,480.69,414.03,429.32,12:16:49.000
株N,442.09,507.65,403.69,418.97,12:16:49.500
株K,759.67,819.51,734.38,743.98,12:16:50.000
株Z,300.80,362.77,258.19,268.65,12:16:50.500
株M,883.40,969.07,857.01,867.43,12:16:51.000
株K,681.82,737.61,653.21,668.06,12:16:51.500
株I,859.77,953.98,830.87,833.16,12:16:52.000
株F,440.97,539.60,432.06,436.35,12:16:52.500
株J,832.13,929.30,824.47,843.10,12:16:53.000
株Y,613.29,707.27,593.07,600.34,12:16:53.500
株A,549.11,606.92,523.59,529.09,12:16:54.000
株X,440.21,532.30,395.66,404.97,12:16:54.500
株G,991.88,1063.24,959.80,966.68,12:16:55.000
株Z,992.35,1044.78,985.18,992.03,12:16:55.500
株P,817.64,898.81,775.27,785.24,12:16:56.000
株P,854.08,953.07,836.88,843.22,12:16:56.500
株K,810.92,893.76,762.08,774.42,12:16:57.000
株F,631.66,726.62,601.59,615.89,12:16:57.500
株H,867.12,939.26,823.07,843.00,12:16:58.000
株H,740.57,821.51,731.94,747.12,12:16:58.500
株P,947.80,1025.39,897.91,910.72,12:16:59.000
株N,691.26,754.99,684.82,695.60,12:16:59.500
株J,912.00,982.52,875.45,879.06,12:17:00.000
株H,731.60,792.57,725.64,740.71,12:17:00.500
株N,708.24,767.84,658.80,669.16,12:17:01.000
株K,514.23,564.23,478.64,481.39,12:17:01.500
株E,844.78,938.75,828.17,847.78,12:17:02.000
株Y,380.62,443.74,366.23,378.36,12:17:02.500
株U,613.63,702.78,605.68,622.90,12:17:03.000
株S,883.30,953.62,859.35,877.27,12:17:03.500
株D,970.90,1061.02,940.89,944.49,12:17:04.000
株I,654.51,727.27,621.31,627.88,12:17:04.500
株F,846.51,908.31,818.66,829.70,12:17:05.000
株V,735.23,804.74,711.49,713.55,12:17:05.500
株E,554.72,637.67,513.68,516.08,12:17:06.000
株F,567.30,631.38,555.43,566.57,12:17:06.500
株I,416.30,478.35,414.98,432.49,12:17:07.000
株Y,669.76,752.21,631.00,650.81,12:17:07.500
株I,304.61,358.13,292.90,305.64,12:17:08.000
株Y,680.43,730.71,678.60,697.19,12:17:08.500
株Q,440.78,538.48,431.97,442.05,12:17:09.000
株X,776.44,847.24,743.18,758.19,12:17:09.500
株I,774.63,869.66,755.74,757.12,12:17:10.000
株E,910.02,992.69,860.07,873.22,12:17:10.500
株J,560.47,639.32,530.79,546.55,12:17:11.000
株N,955.15,1047.88,911.89,924.13,12:17:11.500
株W,452.84,508.87,451.07,457.43,12:17:12.000
株X,450.87,517.89,412.62,428.56,12:17:12.500
株O,458.45,548.39,410.51,420.24,12:17:13.000
株A,817.55,896.78,783.64,802.51,12:17:13.500
株F,963.66,1038.07,948.54,956.51,12:17:14.000
株O,762.94,815.92,737.82,748.30,12:17:14.500
株C,445.02,503.47,427.94,434.01,12:17:15.000
株D,705.13,794.11,695.87,701.10,12:17:15.500
株N,473.86,552.16,471.35,488.62,12:17:16.000
株N,705.39,790.77,695.00,707.86,12:17:16.500
株M,985.49,1070.46,939.84,954.32,12:17:17.000
株L,883.21,946.81,879.99,892.70,12:17:17.500
株Z,489.60,540.17,443.16,450.34,12:17:18.000
株V,781.02,853.00,757.10,761.89,12:17:18.500
株T,481.38,577.29,457.43,468.97,12:17:19.000
株C,644.86,737.13,607.63,626.52,12:17:19.500
株T,864.81,950.42,856.37,861.04,12:17:20.000
株R,478.12,538.40,468.91,476.26,12:17:20.500
株X,795.27,848.78,756.28,771.10,12:17:21.000
株C,870.00,957.66,862.34,870.15,12:17:21.500
株D,349.60,443.42,310.01,324.16,12:17:22.000
株F,625.80,702.77,620.15,622.84,12:17:22.500
株R,503.50,575.27,468.49,471.28,12:17:23.000
株Q,703.78,792.44,689.58,692.70,12:17:23.500
株V,749.39,839.38,706.16,711.40,12:17:24.000
株S,790.55,888.17,780.11,795.47,12:17:24.500
株X,437.64,527.15,402.16,416.47,12:17:25.000
株C,879.00,937.25,848.62,858.35,12:17:25.500
株K,891.78,981.79,847.79,854.57,12:17:26.000
株K,318.05,412.38,270.56,285.16,12:17:26.500
株D,485.82,575.41,471.94,491.40,12:17:27.000
株M,476.92,554.69,438.03,444.46,12:17:27.500
株K,425.99,517.22,403.60,411.83,12:17:28.000
株V,914.42,989.41,897.31,904.36,12:17:28.500
株P,571.55,654.95,563.18,564.45,12:17:29.000
株H,979.97,1053.89,934.54,937.25,12:17:29.500
株L,968.37,1067.02,932.23,938.65,12:17:30.000
株X,868.19,925.52,818.27,836.97,12:17:30.500
株X,445.73,525.80,409.26,415.21,12:17:31.000
株C,483.64,551.28,466.25,471.18,12:17:31.500
株B,634.84,717.30,600.06,610.15,12:17:32.000
株B,360.47,432.78,315.30,321.65,12:17:32.500
株E,354.67,450.95,335.64,351.84,12:17:33.000
株Y,829.83,908.98,812.60,816.84,12:17:33.500
株F,334.74,391.07,313.54,324.36,12:17:34.000
株G,920.72,976.44,885.99,889.30,12:17:34.500
株X,801.97,897.14,756.68,770.95,12:17:35.000
株U,862.46,915.50,844.51,852.07,12:17:35.500
株Y,778.52,873.75,766.11,772.13,12:17:36.000
株M,652.60,715.64,603.67,610.06,12:17:36.500
株P,777.98,873.72,759.82,773.80,12:17:37.000
株V,361.70,418.37,317.56,329.95,12:17:37.500
株R,450.48,532.02,437.60,444.65,12:17:38.000
株K,926.06,1010.68,883.97,898.70,12:17:38.500
株A,389.53,450.09,354.80,369.80,12:17:39.000
株S,545.03,619.35,497.37,505.25,12:17:39.500
株X,914.33,983.98,877.14,878.32,12:17:40.000
株S,772.86,857.20,766.14,779.77,12:17:40.500
株S,692.21,772.57,664.35,671.73,12:17:41.000
株U,951.21,1045.58,928.54,940.47,12:17:41.500
株O,341.24,416.47,317.84,324.96,12:17:42.000
株Q,902.38,955.51,864.48,879.51,12:17:42.500
株C,595.39,651.27,572.83,581.17,12:17:43.000
株J,604.21,668.23,555.17,562.86,12:17:43.500
株V,331.54,396.42,287.94,300.29,12:17:44.000
株O,309.90,396.53,264.17,275.46,12:17:44.500
株H,516.21,586.06,512.72,532.65,12:17:45.000
株V,654.62,748.06,653.06,670.89,12:17:45.500
株B,840.57,937.16,823.42,841.63,12:17:46.000
株P,371.00,467.05,340.16,354.56,12:17:46.500
株D,977.09,1029.30,947.84,954.43,12:17:47.000
株G,568.91,620.87,543.99,559.36,12:17:47.500
株X,929.62,1005.89,910.35,920.45,12:17:48.000
株K,413.35,471.50,388.95,407.62,12:17:48.500
株V,845.06,914.58,834.20,851.01,12:17:49.000
株D,896.92,989.02,885.16,889.64,12:17:49.500
株T,752.23,824.18,747.58,755.19,12:17:50.000
株W,441.79,495.04,395.48,409.31,12:17:50.500
株R,358.64,412.33,310.86,315.29,12:17:51.000
株Q,644.25,707.12,633.17,641.36,12:17:51.500
株Z,626.48,722.74,609.35,625.47,12:17:52.000
株R,947.55,1028.00,943.46,949.99,12:17:52.500
株F,487.68,570.99,446.99,465.43,12:17:53.000
株Z,869.83,932.06,841.63,851.77,12:17:53.500
株M,753.02,823.67,707.09,709.24,12:17:54.000
株L,489.71,581.76,456.84,459.86,12:17:54.500
株D,465.03,530.07,453.72,456.12,12:17:55.000
株N,567.15,623.99,539.30,540.33,12:17:55.500
株W,747.94,845.39,713.52,727.79,12:17:56.000
株U,551.48,645.79,515.45,530.49,12:17:56.500
株K,660.02,757.33,648.74,661.74,12:17:57.000
株Q,377.22,474.25,348.12,354.45,12:17:57.500
株I,595.62,646.71,572.56,590.22,12:17:58.000
株B,600.46,697.86,589.14,593.87,12:17:58.500
株N,557.40,647.81,550.49,566.54,12:17:59.000
株V,566.73,646.35,537.18,552.23,12:17:59.500
株T,581.11,658.78,531.64,544.28,12:18:00.000
株V,646.66,740.44,597.21,613.67,12:18:00.500
株C,740.91,827.25,720.44,730.02,12:18:01.000
株C,940.68,1034.78,933.47,935.16,12:18:01.500
株G,669.85,765.85,647.86,655.67,12:18:02.000
株E,871.24,965.09,838.97,842.17,12:18:02.500
株N,666.77,725.92,646.49,661.91,12:18:03.000
株I,684.55,743.76,668.47,676.51,12:18:03.500
株B,315.36,404.54,275.97,291.56,12:18:04.000
株D,391.81,459.41,367.10,370.74,12:18:04.500
株Y,362.42,422.36,341.21,351.87,12:18:05.000
株T,649.56,701.54,642.44,660.97,12:18:05.500
株X,838.55,905.41,822.99,834.17,12:18:06.000
株J,433.62,523.94,393.92,409.67,12:18:06.500
株W,593.66,667.08,592.61,603.59,12:18:07.000
株F,742.70,797.46,699.57,711.99,12:18:07.500
株P,544.76,620.43,541.24,557.81,12:18:08.000
株S,361.83,435.76,352.30,362.87,12:18:08.500
株U,456.45,516.65,410.92,425.84,12:18:09.000
株B,908.38,996.52,877.41,881.72,12:18:09.500
株T,482.07,545.18,476.85,483.46,12:18:10.000
株L,717.22,773.56,691.61,697.65,12:18:10.500
株B,345.42,424.09,328.17,336.16,12:18:11.000
株R,726.97,813.51,686.60,694.91,12:18:11.500
株N,465.66,529.64,459.43,475.33,12:18:12.000
株V,529.24,593.20,514.39,532.40,12:18:12.500
株V,613.00,666.06,582.85,585.77,12:18:13.000
株K,300.44,352.77,298.95,312.18,12:18:13.500
株K,461.92,535.63,423.91,441.54,12:18:14.000
株W,597.31,691.01,573.82,590.46,12:18:14.500
株J,921.52,993.90,873.40,891.49,12:18:15.000
株R,779.14,877.71,754.34,758.69,12:18:15.500
株P,472.05,571.62,443.53,460.33,12:18:16.000
株M,549.10,613.35,511.04,527.06,12:18:16.500
株W,723.70,790.62,681.70,688.85,12:18:17.000
株T,448.30,501.34,437.01,448.75,12:18:17.500
株L,750.72,805.57,713.99,725.70,12:18:18.000
株V,765.36,828.22,740.98,747.56,12:18:18.500
株G,330.10,418.74,289.25,308.03,12:18:19.000
株Y,665.53,746.52,638.50,644.55,12:18:19.500
株W,329.63,408.26,319.67,333.49,12:18:20.000
株Y,592.37,678.65,581.25,593.00,12:18:20.500
株R,587.12,663.89,573.95,579.64,12:18:21.000
株R,611.54,695.16,571.23,590.13,12:18:21.500
株F,570.72,630.76,563.92,578.68,12:18:22.000
株O,329.48,386.67,284.76,291.08,12:18:22.500
株R,826.15,902.37,785.65,801.30,12:18:23.000
株O,509.29,564.85,461.98,465.29,12:18:23.500
株K,497.70,560.08,488.88,498.36,12:18:24.000
株G,339.56,392.76,311.06,316.26,12:18:24.500
株W,939.11,999.09,912.19,921.25,12:18:25.000
株S,818.09,899.42,809.44,818.20,12:18:25.500
株B,438.70,524.61,432.99,448.38,12:18:26.000
株N,491.32,582.70,455.20,472.53,12:18:26.500
株E,703.89,778.91,659.30,671.77,12:18:27.000
株J,741.08,797.10,693.41,694.62,12:18:27.500
株N,564.65,628.23,529.14,548.15,12:18:28.000
株L,834.06,905.36,806.11,821.02,12:18:28.500
株Q,542.94,603.04,534.86,546.36,12:18:29.000
株R,978.62,1053.49,966.80,984.35,12:18:29.500
株N,628.89,708.75,580.25,589.24,12:18:30.000
株U,757.80,840.34,742.72,754.91,12:18:30.500
株J,651.39,743.41,626.06,628.75,12:18:31.000
株H,836.34,901.17,803.67,805.35,12:18:31.500
株R,469.72,538.67,421.84,425.17,12:18:32.000
株F,705.28,778.11,675.87,681.63,12:18:32.500
株H,629.84,718.12,594.35,613.29,12:18:33.000
株V,983.21,1058.77,938.50,954.08,12:18:33.500
株I,839.63,923.27,800.53,805.79,12:18:34.000
株Z,829.37,882.92,819.93,833.94,12:18:34.500
株P,686.37,767.10,683.27,701.25,12:18:35.000
株U,668.93,767.76,630.94,633.60,12:18:35.500
株K,999.58,1055.20,955.49,964.46,12:18:36.000
株T,803.02,875.60,777.47,779.27,12:18:36.500
株G,820.43,888.50,818.18,834.00,12:18:37.000
株W,726.49,819.38,699.53,705.92,12:18:37.500
株R,482.44,542.57,453.20,459.59,12:18:38.000
株Q,361.93,440.70,350.67,365.64,12:18:38.500
株D,636.73,726.29,631.92,645.92,12:18:39.000
株T,517.73,587.34,500.55,504.86,12:18:39.500
株K,773.37,847.91,763.47,773.55,12:18:40.000
株O,638.86,696.93,625.15,635.99,12:18:40.500
株T,482.34,570.29,434.51,448.10,12:18:41.000
